               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085758,            0.076399,            0.078638,            0.023583,             0.31739,            0.027475,           0.0096265,            0.059334,            0.058364,            0.078146,            0.070714,            0.003254,            0.003254
                   1,            0.060138,            0.052644,            0.072815,            0.031513,             0.18138,              0.0397,            0.017548,            0.053951,            0.029105,             0.07354,            0.040627,           0.0065003,           0.0065003
                   2,            0.057765,            0.047236,             0.07149,              0.1926,             0.24781,            0.052859,            0.021558,            0.053673,            0.033685,            0.072776,            0.010452,           0.0096587,           0.0096587
                   3,            0.049069,            0.044283,            0.068417,             0.27513,             0.31641,             0.10482,             0.04952,            0.037019,            0.028234,            0.070414,            0.009604,            0.009604,            0.009604
                   4,            0.041971,            0.042437,            0.064831,             0.20625,             0.31379,             0.12666,            0.069817,            0.032316,            0.027545,            0.068399,            0.009604,            0.009604,            0.009604
                   5,            0.038429,            0.039114,            0.060138,             0.28981,             0.31649,             0.15318,            0.075296,            0.038725,            0.029235,            0.065966,            0.009472,            0.009472,            0.009472
                   6,            0.036494,            0.038143,            0.054806,             0.29706,              0.3842,             0.23598,             0.13238,            0.031257,            0.025958,            0.059925,             0.00934,             0.00934,             0.00934
                   7,            0.034416,            0.038033,            0.050893,              0.4323,             0.39882,             0.30506,             0.15766,            0.034139,            0.025391,            0.052886,            0.009208,            0.009208,            0.009208
                   8,            0.034616,            0.036799,             0.04587,             0.33728,             0.45463,             0.30792,             0.18895,            0.030353,            0.024967,            0.052582,            0.009076,            0.009076,            0.009076
                   9,            0.032309,             0.03659,            0.041865,             0.37866,              0.5227,             0.35405,             0.20385,            0.030082,            0.024675,            0.052713,            0.008944,            0.008944,            0.008944
                  10,            0.031959,            0.036603,            0.038632,             0.43061,             0.51306,              0.3859,             0.24121,             0.02778,            0.024218,            0.048712,            0.008812,            0.008812,            0.008812
                  11,            0.031757,            0.036856,            0.035426,             0.47435,             0.50731,             0.44917,             0.26563,            0.029083,            0.024111,            0.045579,             0.00868,             0.00868,             0.00868
                  12,            0.031242,            0.037197,            0.032871,              0.5699,             0.46926,             0.45178,             0.29041,            0.025928,             0.02431,            0.043383,            0.008548,            0.008548,            0.008548
                  13,            0.030933,            0.036291,            0.030719,             0.51106,             0.50586,             0.48479,              0.3196,            0.025703,            0.023982,            0.042063,            0.008416,            0.008416,            0.008416
                  14,             0.03011,            0.035942,            0.028493,              0.5338,             0.48689,             0.46294,             0.30591,            0.025861,            0.025375,            0.045823,            0.008284,            0.008284,            0.008284
                  15,             0.02989,            0.035266,            0.027165,             0.50036,             0.55316,             0.52725,             0.34859,            0.026451,            0.023995,            0.041249,            0.008152,            0.008152,            0.008152
                  16,            0.029464,            0.035674,            0.024234,             0.46178,             0.59974,             0.51692,             0.31348,            0.027611,            0.024201,            0.044564,             0.00802,             0.00802,             0.00802
                  17,            0.029299,            0.034551,            0.023583,              0.5348,             0.64375,             0.60062,             0.40377,            0.025587,            0.023001,            0.035694,            0.007888,            0.007888,            0.007888
                  18,            0.029007,            0.035164,            0.022392,             0.54074,             0.64094,             0.59903,             0.38015,            0.027591,            0.023344,            0.034799,            0.007756,            0.007756,            0.007756
                  19,            0.028222,             0.03446,            0.021015,             0.51554,              0.6214,             0.54055,             0.36355,             0.02502,            0.024639,            0.040016,            0.007624,            0.007624,            0.007624
                  20,            0.027728,            0.033806,            0.020485,             0.50881,             0.64745,             0.59905,             0.41342,            0.023877,            0.023529,            0.037553,            0.007492,            0.007492,            0.007492
                  21,            0.027746,            0.033322,            0.020646,             0.57545,               0.601,             0.58644,             0.39933,            0.024672,            0.023807,            0.041041,             0.00736,             0.00736,             0.00736
                  22,            0.027344,            0.033589,            0.019405,             0.60604,             0.64468,             0.64346,             0.42378,            0.025214,            0.023219,            0.036033,            0.007228,            0.007228,            0.007228
                  23,            0.027064,            0.033342,            0.018115,              0.6296,             0.67217,             0.66441,             0.45375,            0.024552,            0.023197,             0.03132,            0.007096,            0.007096,            0.007096
                  24,            0.026212,            0.032394,            0.016651,              0.5979,             0.71387,             0.69168,             0.48256,            0.022961,             0.02274,            0.031223,            0.006964,            0.006964,            0.006964
                  25,            0.026358,            0.033032,            0.018029,             0.57394,             0.70492,             0.68078,             0.46869,            0.023654,             0.02284,            0.033877,            0.006832,            0.006832,            0.006832
                  26,            0.026765,            0.032917,            0.015792,             0.63589,             0.70798,             0.72555,             0.50104,             0.02359,             0.02305,            0.032001,              0.0067,              0.0067,              0.0067
                  27,            0.025858,            0.033511,            0.013909,             0.65393,             0.73746,             0.74191,             0.53129,            0.023783,            0.023223,            0.028912,            0.006568,            0.006568,            0.006568
                  28,            0.025804,             0.03242,            0.014158,             0.65228,             0.73617,             0.74966,             0.51461,            0.023206,            0.022847,            0.031366,            0.006436,            0.006436,            0.006436
                  29,            0.025662,            0.034287,            0.012122,             0.64589,             0.72154,             0.73184,             0.50513,            0.024442,            0.022811,            0.034264,            0.006304,            0.006304,            0.006304
                  30,             0.02588,            0.032949,            0.011854,             0.69257,                0.74,             0.75532,             0.53358,            0.023716,            0.023082,            0.029083,            0.006172,            0.006172,            0.006172
                  31,            0.025653,            0.031523,            0.011331,             0.68721,             0.71423,             0.75125,             0.52911,            0.023146,            0.022578,            0.031763,             0.00604,             0.00604,             0.00604
                  32,            0.024828,            0.032322,            0.010233,             0.74201,             0.71114,             0.77193,             0.54016,             0.02394,             0.02388,            0.028507,            0.005908,            0.005908,            0.005908
                  33,            0.024448,            0.032286,            0.010119,              0.6765,             0.67106,             0.70625,             0.48935,            0.024327,            0.025581,            0.038178,            0.005776,            0.005776,            0.005776
                  34,             0.02486,            0.032937,           0.0097023,             0.73427,             0.68911,             0.74852,             0.52445,            0.023535,            0.024475,            0.032166,            0.005644,            0.005644,            0.005644
                  35,             0.02392,            0.031907,           0.0089931,              0.7797,             0.75427,             0.81814,             0.58899,            0.021664,            0.022125,            0.027648,            0.005512,            0.005512,            0.005512
                  36,            0.024023,            0.031422,           0.0090566,             0.78162,             0.77868,             0.82979,             0.58461,            0.023064,            0.022259,            0.024731,             0.00538,             0.00538,             0.00538
                  37,            0.023695,            0.031838,           0.0080351,             0.76389,             0.75203,             0.80867,             0.58517,            0.021948,            0.022033,            0.028592,            0.005248,            0.005248,            0.005248
                  38,            0.023399,            0.031787,           0.0079544,             0.77461,             0.74226,             0.80956,             0.56765,            0.022199,            0.022657,            0.028498,            0.005116,            0.005116,            0.005116
                  39,            0.023203,             0.03221,           0.0079563,             0.76213,             0.75356,             0.80632,             0.58449,            0.021672,            0.022181,            0.027354,            0.004984,            0.004984,            0.004984
                  40,            0.022958,            0.030036,           0.0078394,             0.77451,             0.75024,             0.80908,             0.58988,             0.02133,            0.021915,            0.027661,            0.004852,            0.004852,            0.004852
                  41,            0.022715,            0.031273,           0.0078563,             0.76503,             0.73894,             0.80386,             0.57478,            0.021444,            0.021803,            0.027731,             0.00472,             0.00472,             0.00472
                  42,            0.022294,            0.030742,           0.0070662,             0.74681,             0.74402,             0.80041,             0.58448,            0.021373,             0.02174,            0.029803,            0.004588,            0.004588,            0.004588
                  43,            0.022194,            0.031553,           0.0071944,             0.80417,               0.787,             0.84742,             0.61836,            0.021385,            0.022072,            0.023564,            0.004456,            0.004456,            0.004456
                  44,            0.022192,            0.030543,           0.0066347,             0.76804,             0.77683,             0.82878,             0.60737,            0.021293,            0.021889,            0.027041,            0.004324,            0.004324,            0.004324
                  45,            0.021789,             0.03035,            0.006291,             0.81611,             0.77051,             0.84708,             0.61871,             0.02118,            0.021918,             0.02467,            0.004192,            0.004192,            0.004192
                  46,            0.021365,            0.030473,           0.0058514,             0.81357,             0.78028,             0.85147,             0.62875,            0.020767,            0.022143,            0.023009,             0.00406,             0.00406,             0.00406
                  47,             0.02114,             0.02995,           0.0060403,             0.78721,             0.77861,             0.82945,             0.60942,            0.020667,            0.022178,             0.02844,            0.003928,            0.003928,            0.003928
                  48,            0.020884,            0.030116,           0.0054705,             0.81569,             0.78674,             0.85251,             0.63089,            0.020657,            0.021903,            0.025161,            0.003796,            0.003796,            0.003796
                  49,            0.020977,            0.028755,            0.005657,             0.79589,              0.7807,             0.83038,             0.60947,            0.020369,            0.021543,            0.028176,            0.003664,            0.003664,            0.003664
                  50,            0.020959,            0.029928,           0.0059082,             0.82053,             0.79659,             0.84728,             0.62407,            0.020586,            0.021541,            0.025943,            0.003532,            0.003532,            0.003532
                  51,            0.020157,            0.029544,           0.0051139,             0.81302,             0.79405,             0.84934,             0.63343,            0.020488,            0.021523,            0.026186,              0.0034,              0.0034,              0.0034
                  52,            0.020116,            0.029046,           0.0052467,             0.81945,             0.80356,             0.86292,             0.64058,            0.020245,            0.021754,            0.022043,            0.003268,            0.003268,            0.003268
