               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.02422,            0.034647,           0.0097825,             0.84627,             0.85715,              0.9011,             0.63525,            0.022193,            0.021711,            0.013452,             0.07327,             0.00027,             0.00027
                   1,            0.022542,            0.033813,            0.009132,             0.87139,             0.85106,             0.91129,              0.6586,            0.021145,            0.021172,            0.012838,            0.045549,           0.0005489,           0.0005489
                   2,            0.022474,            0.031945,           0.0086263,             0.85635,             0.85368,             0.90635,             0.65487,            0.021064,            0.021077,            0.013345,            0.017827,          0.00082668,          0.00082668
                   3,            0.022565,            0.032365,           0.0080039,             0.86217,             0.84993,              0.9083,             0.64838,            0.021647,            0.021036,            0.012954,            0.000994,            0.000994,            0.000994
                   4,            0.022867,            0.031566,           0.0083063,             0.87466,             0.86654,             0.92171,             0.66427,            0.021398,            0.021163,            0.011745,            0.000994,            0.000994,            0.000994
                   5,            0.022809,            0.031196,           0.0079676,             0.83937,              0.8436,             0.89439,             0.64529,            0.021106,            0.020948,            0.015532,            0.000992,            0.000992,            0.000992
                   6,            0.022342,            0.032464,           0.0077333,             0.86885,              0.8581,             0.91348,             0.64722,            0.021811,            0.021088,            0.012283,             0.00099,             0.00099,             0.00099
                   7,            0.023205,            0.033689,           0.0076363,             0.87559,             0.86203,             0.91856,             0.66503,            0.021131,            0.020987,            0.011488,            0.000988,            0.000988,            0.000988
                   8,            0.022726,             0.03261,           0.0072841,             0.87912,              0.8668,             0.92334,             0.67312,            0.021006,            0.020804,            0.011132,            0.000986,            0.000986,            0.000986
                   9,            0.022806,            0.032498,           0.0069755,             0.86558,             0.86926,              0.9202,             0.66575,            0.021069,            0.020859,            0.011996,            0.000984,            0.000984,            0.000984
                  10,            0.023121,            0.031513,           0.0075222,             0.85981,             0.85346,             0.90879,             0.64918,            0.021496,            0.021009,            0.013091,            0.000982,            0.000982,            0.000982
                  11,            0.022858,             0.03179,           0.0072168,             0.86705,             0.86062,             0.92086,             0.67196,            0.020473,             0.02069,            0.012312,             0.00098,             0.00098,             0.00098
                  12,             0.02244,            0.032377,            0.007117,             0.86949,             0.85162,              0.9186,             0.66451,            0.021203,            0.020893,            0.012398,            0.000978,            0.000978,            0.000978
                  13,            0.022922,            0.032382,           0.0068023,             0.86514,             0.84882,             0.91429,             0.65574,              0.0213,            0.020907,            0.012876,            0.000976,            0.000976,            0.000976
                  14,            0.023032,            0.031591,           0.0074278,             0.85533,             0.85959,             0.91651,             0.66733,            0.020991,            0.020843,            0.012984,            0.000974,            0.000974,            0.000974
                  15,            0.023011,            0.031284,           0.0071784,             0.87105,             0.86014,             0.92367,             0.66485,            0.021392,              0.0211,            0.012088,            0.000972,            0.000972,            0.000972
                  16,            0.022835,            0.031283,           0.0074493,             0.85539,             0.85447,             0.91506,             0.65963,            0.021158,            0.021025,            0.013374,             0.00097,             0.00097,             0.00097
                  17,            0.022802,            0.032469,           0.0067453,             0.85976,             0.85098,             0.91434,             0.66722,             0.02058,            0.020751,            0.013113,            0.000968,            0.000968,            0.000968
